City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Matamoros,MX,84.31,broken clouds,25.5333,-103.25,Quinta Belem
11,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
20,Mangaluru,IN,83.26,few clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
24,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
29,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
32,Balaipungut,ID,88.05,scattered clouds,1.05,101.2833,
33,Kalmunai,LK,82.17,few clouds,7.4167,81.8167,VS Villa
34,Bambanglipuro,ID,86.41,overcast clouds,-7.95,110.2833,Puri Brata
36,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
41,Balabac,PH,81.48,moderate rain,7.9868,117.0645,Batalla’s Lodging House
44,Khandela,IN,85.06,clear sky,27.6,75.5,Castle Khandela
47,Bengkulu,ID,83.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
55,Tumut,AU,82.15,overcast clouds,-35.3,148.2167,Amaroo Motel
56,Tenenkou,ML,83.7,clear sky,14.4572,-4.9169,
69,Parrita,CR,80.02,overcast clouds,9.5201,-84.3225,Beso del Viento
70,Islamkot,PK,81.68,clear sky,24.6997,70.177,Haji Hotel
83,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
95,Biak,ID,83.21,broken clouds,-0.9131,122.8766,Penginapan Kim
104,Mahibadhoo,MV,81.16,clear sky,3.7833,72.9667,Omadhoo Inn
108,Quang Ngai,VN,82.96,scattered clouds,15.1167,108.8,Central Hotel
115,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
124,Hithadhoo,MV,81.37,few clouds,-0.6,73.0833,Scoop Guest House
143,Kavieng,PG,84.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
146,Kieta,PG,83.77,light rain,-6.2167,155.6333,Uruna Bay Retreat
157,Tual,ID,81.68,moderate rain,-5.6667,132.75,Grand Vilia Hotel
160,Dingle,PH,87.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
162,Sokoni,TZ,80.46,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
165,Port Blair,IN,84.22,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
175,Minbu,MM,86.67,few clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
176,Faanui,PF,82.51,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Butaritari,KI,80.64,few clouds,3.0707,172.7902,Isles Sunset Lodge
195,Ranot,TH,85.77,clear sky,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
207,Namatanai,PG,85.62,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
212,Bilgram,IN,85.78,clear sky,27.1833,80.0333,Dularey Prasad Guest House
225,Ranong,TH,85.93,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
228,Qui Nhon,VN,81.59,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
230,Samarai,PG,84.34,overcast clouds,-10.6167,150.6667,Nuli Sapi
231,Cayenne,GF,81.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
236,Tezu,IN,84.87,scattered clouds,27.9167,96.1667,Circuit House
237,Ogbomosho,NG,80.78,scattered clouds,8.133,4.25,Living Soul Garden Hotel
244,Sorong,ID,84.49,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
249,Panara,IN,87.51,few clouds,22.0667,78.55,Rahul Samuse Wala
272,Puri,IN,84.72,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
276,Avanigadda,IN,87.93,scattered clouds,16.0215,80.9181,AP Camping
277,Isangel,VU,83.55,broken clouds,-19.55,169.2667,Tanna Lodge
278,Lorengau,PG,81.43,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
286,Kirakira,SB,82.99,overcast clouds,-10.4544,161.9205,SanBiz Lodge
287,Odienne,CI,81.16,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
295,Tautira,PF,81.48,broken clouds,-17.7333,-149.15,Pension Oaoa
303,Daru,PG,84.81,overcast clouds,-9.0763,143.2092,Daru Lodge
304,Sikasso,ML,83.73,clear sky,10.9167,-7.0,
306,Sasaram,IN,88.59,few clouds,24.951,84.0149,Circuit House
307,Geraldton,AU,84.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
310,Luganville,VU,82.85,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
311,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
315,Sarangani,PH,82.63,broken clouds,5.4033,125.4636,Ballistic Islet
322,Georgetown,MY,87.73,thunderstorm,5.4112,100.3354,Cititel Penang
343,Port Augusta,AU,81.1,few clouds,-32.5,137.7667,Majestic Oasis Apartments
344,Kuala Terengganu,MY,85.95,clear sky,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
351,Sabana De Torres,CO,81.21,overcast clouds,7.3915,-73.4957,Hotel el Milagro
354,Tagusao,PH,82.08,moderate rain,9.1924,117.8141,Green Villa beach resort
358,Takoradi,GH,80.42,broken clouds,4.8845,-1.7554,Raybow International Hotel
366,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
370,Labuhan,ID,83.68,overcast clouds,-6.8844,112.2051,DoubleFAG
375,Vung Tau,VN,85.64,few clouds,10.346,107.0843,Seaside Resort
389,Catuday,PH,87.93,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
395,Gigmoto,PH,84.6,few clouds,13.7796,124.39,Cj's Travellers Inn
397,Majene,ID,87.04,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
399,Banamba,ML,82.44,clear sky,13.55,-7.45,Kassela de Banamba
405,Mitsamiouli,KM,81.55,few clouds,-11.3847,43.2844,Foyer ADM
412,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
425,Guadalupe,MX,81.39,scattered clouds,25.6833,-100.25,Fiesta Inn Monterrey Fundidora
443,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
451,Beruwala,LK,81.32,clear sky,6.4788,79.9828,The Palms Hotel
454,Thinadhoo,MV,81.57,clear sky,0.5333,72.9333,
469,Champerico,GT,82.69,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
475,Singaraja,ID,82.76,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
484,Yeppoon,AU,89.38,clear sky,-23.1333,150.7333,Villa Mar Colina
507,Kilindoni,TZ,82.2,light rain,-7.9139,39.6668,Bustani B&B
515,Umred,IN,88.09,few clouds,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
