City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,17.27,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,77.99,87,45,7.14,scattered clouds
2,Huarmey,PE,-10.0681,-78.1522,71.17,84,95,10.04,overcast clouds
3,Zavyalovo,RU,54.5053,82.4484,32.56,97,100,9.01,overcast clouds
4,Saldanha,ZA,-33.0117,17.9442,59.05,94,100,14.81,overcast clouds
5,Matamoros,MX,25.5333,-103.25,84.31,11,75,3.44,broken clouds
6,Katsuura,JP,35.1333,140.3,53.55,77,100,12.71,overcast clouds
7,Lavrentiya,RU,65.5833,-171.0,7.79,83,4,6.51,clear sky
8,Rikitea,PF,-23.1203,-134.9692,78.31,67,86,2.21,overcast clouds
9,Koslan,RU,63.4564,48.8989,-6.52,100,99,3.02,overcast clouds
10,Chapleau,CA,47.8405,-83.4034,-2.22,98,65,3.47,broken clouds
11,Hambantota,LK,6.1241,81.1185,80.94,94,20,4.61,few clouds
12,Bethel,US,41.3712,-73.414,23.36,53,75,14.97,broken clouds
13,Sitka,US,57.0531,-135.33,44.49,53,100,14.97,overcast clouds
14,Acapulco,MX,16.8634,-99.8901,76.82,73,0,6.91,clear sky
15,Bluff,NZ,-46.6,168.3333,62.26,72,100,5.48,overcast clouds
16,Vire,FR,48.9167,-0.8333,54.79,80,100,3.42,overcast clouds
17,San Fernando,PH,15.0286,120.6898,93.58,41,55,20.51,broken clouds
18,Channel-Port Aux Basques,CA,47.5702,-59.1367,33.87,99,100,13.44,light snow
19,New Norfolk,AU,-42.7826,147.0587,71.92,43,10,1.07,clear sky
20,Mangaluru,IN,12.8667,74.8833,83.26,74,20,0.0,few clouds
21,Tiksi,RU,71.6872,128.8694,-1.64,88,81,4.03,broken clouds
22,Saskylakh,RU,71.9167,114.0833,0.36,91,100,13.47,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,42.46,75,100,10.36,light rain
24,Kahului,US,20.8947,-156.47,82.42,66,40,13.8,scattered clouds
25,Barrow,US,71.2906,-156.7887,1.42,66,0,24.16,clear sky
26,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,25,5.68,scattered clouds
27,Hofn,IS,64.2539,-15.2082,28.8,69,100,10.67,overcast clouds
28,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,20,5.75,few clouds
29,Carnarvon,AU,-24.8667,113.6333,82.47,65,40,14.97,scattered clouds
30,Klaksvik,FO,62.2266,-6.589,32.92,62,100,18.32,overcast clouds
31,Brewster,US,41.3973,-73.6171,23.32,54,75,14.97,broken clouds
32,Balaipungut,ID,1.05,101.2833,88.05,60,35,4.56,scattered clouds
33,Kalmunai,LK,7.4167,81.8167,82.17,76,19,4.38,few clouds
34,Bambanglipuro,ID,-7.95,110.2833,86.41,62,91,0.92,overcast clouds
35,Bangangte,CM,5.1409,10.5198,62.83,87,48,4.83,scattered clouds
36,Salalah,OM,17.0151,54.0924,84.29,18,0,12.66,clear sky
37,Ilulissat,GL,69.2167,-51.1,30.22,55,11,13.8,few clouds
38,Saint George,US,37.1041,-113.5841,66.79,26,20,17.27,few clouds
39,Kapaa,US,22.0752,-159.319,79.2,73,20,6.91,few clouds
40,Ucluelet,CA,48.9329,-125.5528,51.1,86,13,4.07,few clouds
41,Balabac,PH,7.9868,117.0645,81.48,78,100,4.43,moderate rain
42,Cape Town,ZA,-33.9258,18.4232,64.27,76,75,18.41,broken clouds
43,Godeanu,RO,44.8005,22.6079,41.45,58,100,2.95,overcast clouds
44,Khandela,IN,27.6,75.5,85.06,15,1,7.2,clear sky
45,Hilo,US,19.7297,-155.09,78.53,73,100,10.36,overcast clouds
46,Ballina,AU,-28.8667,153.5667,73.02,91,100,5.75,light rain
47,Bengkulu,ID,-3.8004,102.2655,83.17,63,100,5.1,overcast clouds
48,Hermanus,ZA,-34.4187,19.2345,61.81,77,77,9.98,broken clouds
49,Zhanaozen,KZ,43.3,52.8,29.75,58,6,8.1,clear sky
50,Avarua,CK,-21.2078,-159.775,82.45,78,97,6.91,overcast clouds
51,Karlskoga,SE,59.3267,14.5239,31.39,69,10,5.44,clear sky
52,Kruisfontein,ZA,-34.0033,24.7314,67.89,77,96,5.17,overcast clouds
53,Yumen,CN,40.2833,97.2,47.3,23,61,12.46,broken clouds
54,Port Alfred,ZA,-33.5906,26.891,73.27,63,17,0.92,few clouds
55,Tumut,AU,-35.3,148.2167,82.15,30,100,5.5,overcast clouds
56,Tenenkou,ML,14.4572,-4.9169,83.7,8,5,9.64,clear sky
57,Pisco,PE,-13.7,-76.2167,68.05,77,0,13.8,clear sky
58,Fortuna,US,40.5982,-124.1573,53.94,87,95,4.0,overcast clouds
59,Tasiilaq,GL,65.6145,-37.6368,26.76,86,100,11.72,light snow
60,Myaundzha,RU,63.0494,147.1858,6.8,62,0,3.8,clear sky
61,Severo-Kurilsk,RU,50.6789,156.125,29.07,76,99,38.86,overcast clouds
62,Mana,GF,5.6592,-53.7767,77.22,85,100,10.45,overcast clouds
63,Yellowknife,CA,62.456,-114.3525,12.42,87,75,3.44,light snow
64,Barranca,PE,-10.75,-77.7667,70.14,83,97,7.54,overcast clouds
65,Cabo San Lucas,MX,22.8909,-109.9124,76.3,40,0,20.71,clear sky
66,Bellegarde-Sur-Valserine,FR,46.1079,5.8242,52.9,51,100,1.57,overcast clouds
67,Tashla,RU,51.7716,52.7427,20.28,89,98,18.86,overcast clouds
68,Margate,GB,51.3813,1.3862,47.3,89,100,3.0,light rain
69,Parrita,CR,9.5201,-84.3225,80.02,75,89,2.89,overcast clouds
70,Islamkot,PK,24.6997,70.177,81.68,45,0,14.7,clear sky
71,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,0,11.5,clear sky
72,Fairhope,US,30.523,-87.9033,68.77,77,0,5.75,clear sky
73,Dikson,RU,73.5069,80.5464,2.32,90,100,7.52,overcast clouds
74,Watertown,US,42.3709,-71.1828,25.34,44,75,18.41,broken clouds
75,Mazyr,BY,52.0495,29.2456,42.91,86,42,8.68,scattered clouds
76,Lebu,CL,-37.6167,-73.65,56.97,90,88,9.64,overcast clouds
77,Khatanga,RU,71.9667,102.5,0.0,92,100,10.65,overcast clouds
78,Lokosovo,RU,61.1333,74.8167,28.45,93,100,12.37,overcast clouds
79,Muroto,JP,33.2833,134.15,55.06,69,100,9.13,overcast clouds
80,Nikolskoye,RU,59.7035,30.7861,22.89,90,98,5.88,overcast clouds
81,Brae,GB,60.3964,-1.353,38.3,65,100,14.67,overcast clouds
82,East London,ZA,-33.0153,27.9116,77.88,47,45,4.52,scattered clouds
83,Vaini,TO,-21.2,-175.2,82.56,78,75,12.66,broken clouds
84,Paita,PE,-5.0892,-81.1144,72.99,77,94,12.21,overcast clouds
85,Jamestown,US,42.097,-79.2353,20.79,64,100,14.97,overcast clouds
86,Faya,SA,18.3851,42.4509,50.52,32,0,4.79,clear sky
87,Monrovia,LR,6.3005,-10.7969,76.77,89,98,3.18,overcast clouds
88,Torbay,CA,47.6666,-52.7314,37.27,93,75,10.36,light rain
89,Genhe,CN,50.7833,121.5167,23.36,43,20,10.92,few clouds
90,Nieuw Amsterdam,SR,5.8833,-55.0833,78.03,87,100,8.63,overcast clouds
91,Airai,TL,-8.9266,125.4092,71.89,68,64,1.48,broken clouds
92,Bredasdorp,ZA,-34.5322,20.0403,62.19,72,86,4.7,overcast clouds
93,Karachi,PK,24.9056,67.0822,78.62,65,3,8.05,smoke
94,Chumikan,RU,54.7183,135.315,20.57,90,100,4.03,light snow
95,Biak,ID,-0.9131,122.8766,83.21,66,76,1.57,broken clouds
96,Albany,US,42.6001,-73.9662,18.95,55,88,4.0,overcast clouds
97,Cidreira,BR,-30.1811,-50.2056,70.88,81,0,13.53,clear sky
98,Hobart,AU,-42.8794,147.3294,72.27,60,20,5.75,few clouds
99,Busselton,AU,-33.65,115.3333,74.68,59,97,16.58,overcast clouds
100,Vanimo,PG,-2.6741,141.3028,79.45,86,100,6.31,overcast clouds
101,Coquimbo,CL,-29.9533,-71.3436,56.93,94,0,5.75,clear sky
102,Cascais,PT,38.6979,-9.4215,59.5,77,94,8.01,light rain
103,Atar,MR,20.5169,-13.0499,72.18,32,100,6.46,overcast clouds
104,Mahibadhoo,MV,3.7833,72.9667,81.16,74,2,3.65,clear sky
105,Wanning,CN,18.8003,110.3967,77.02,87,97,8.08,overcast clouds
106,Nouadhibou,MR,20.931,-17.0347,64.38,94,40,8.05,scattered clouds
107,Torrington,US,41.8007,-73.1212,22.28,63,81,15.01,broken clouds
108,Quang Ngai,VN,15.1167,108.8,82.96,67,42,7.02,scattered clouds
109,Tambopata,PE,-12.7333,-69.1833,74.52,84,88,1.12,overcast clouds
110,Ertil,RU,51.8406,40.8056,37.24,84,40,19.57,scattered clouds
111,Gornopravdinsk,RU,60.05,69.9,32.34,92,100,11.81,overcast clouds
112,Ust-Nera,RU,64.5667,143.2,7.59,79,44,0.13,scattered clouds
113,Cabra,ES,37.4725,-4.4421,53.65,87,100,4.52,light rain
114,Manzhouli,CN,49.6,117.4333,27.73,21,0,17.87,clear sky
115,Kloulklubed,PW,7.0419,134.2556,84.7,74,100,12.37,overcast clouds
116,Mormugao,IN,15.4,73.8,79.77,79,17,2.35,few clouds
117,Chuy,UY,-33.6971,-53.4616,63.36,81,0,9.8,light rain
118,Richards Bay,ZA,-28.783,32.0377,71.44,77,0,15.1,clear sky
119,Riyadh,SA,24.6877,46.7219,57.34,27,0,10.16,clear sky
120,Yar-Sale,RU,66.8333,70.8333,28.56,97,100,17.02,light snow
121,Chokurdakh,RU,70.6333,147.9167,5.0,85,17,4.23,few clouds
122,Esperance,AU,-33.8667,121.9,69.64,66,99,12.24,overcast clouds
123,Sawtell,AU,-30.3833,153.1,69.82,94,75,11.5,heavy intensity rain
124,Hithadhoo,MV,-0.6,73.0833,81.37,65,16,6.04,few clouds
125,Xapuri,BR,-10.6517,-68.5044,72.23,97,81,1.05,broken clouds
126,Mabaruma,GY,8.2,-59.7833,71.24,93,99,2.33,overcast clouds
127,Hirara,JP,24.8,125.2833,76.86,78,75,21.85,broken clouds
128,Labytnangi,RU,66.6572,66.4183,25.88,97,100,4.47,light snow
129,La Ronge,CA,55.1001,-105.2842,23.25,93,100,8.05,snow
130,Tamboril,DO,19.4854,-70.611,74.08,94,75,4.61,broken clouds
131,Baruun-Urt,MN,46.6806,113.2792,25.2,34,4,9.28,clear sky
132,Port Elizabeth,ZA,-33.918,25.5701,70.11,89,0,2.3,clear sky
133,Mataura,NZ,-46.1927,168.8643,68.76,52,90,2.71,overcast clouds
134,Mar Del Plata,AR,-38.0023,-57.5575,67.87,84,0,12.66,clear sky
135,Cherskiy,RU,68.75,161.3,5.61,83,48,6.51,scattered clouds
136,Kropotkin,RU,45.4375,40.5756,32.07,77,1,8.84,clear sky
137,Lasa,IT,46.6166,10.7002,40.03,80,100,2.08,overcast clouds
138,Usoke,TZ,-5.1667,32.35,63.93,96,70,3.47,light rain
139,Vieux Fort,LC,13.7167,-60.95,78.12,78,40,17.27,scattered clouds
140,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,12.66,clear sky
141,Marsh Harbour,BS,26.5412,-77.0636,73.26,58,11,4.23,few clouds
142,Cabinda,AO,-5.55,12.2,76.19,93,100,5.59,moderate rain
143,Kavieng,PG,-2.5744,150.7967,84.38,67,100,8.34,overcast clouds
144,Inverness,GB,57.4791,-4.224,42.84,93,100,1.01,mist
145,San Patricio,US,28.017,-97.5169,72.9,85,100,15.41,overcast clouds
146,Kieta,PG,-6.2167,155.6333,83.77,79,73,9.26,light rain
147,Atuona,PF,-9.8,-139.0333,79.38,77,100,13.6,overcast clouds
148,Candido Mendes,BR,-1.4467,-45.7167,74.3,98,100,3.58,overcast clouds
149,Luderitz,NA,-26.6481,15.1594,58.78,94,33,3.44,scattered clouds
150,Concepcion,CL,-36.827,-73.0498,57.0,88,75,6.91,broken clouds
151,Pitimbu,BR,-7.4706,-34.8086,79.39,77,97,8.79,overcast clouds
152,San Felipe,VE,10.3399,-68.7425,70.63,96,100,3.27,overcast clouds
153,Shimanovsk,RU,52.0,127.7,28.8,51,47,14.16,scattered clouds
154,Craig,US,40.5153,-107.5464,53.22,53,100,0.0,overcast clouds
155,Alofi,NU,-19.0595,-169.9187,76.89,22,100,8.05,light intensity drizzle
156,Kununurra,AU,-15.7667,128.7333,93.18,55,100,5.75,overcast clouds
157,Tual,ID,-5.6667,132.75,81.68,78,100,10.76,moderate rain
158,Port Hueneme,US,34.1478,-119.1951,57.76,91,100,12.66,overcast clouds
159,Nemuro,JP,43.3236,145.575,38.28,64,1,13.73,clear sky
160,Dingle,PH,10.9995,122.6711,87.51,63,82,15.59,broken clouds
161,Hamilton,US,39.1834,-84.5333,35.94,54,0,5.75,clear sky
162,Sokoni,TZ,-6.4333,39.55,80.46,79,58,2.51,moderate rain
163,Olafsvik,IS,64.8945,-23.7142,34.38,78,100,12.97,overcast clouds
164,Constitucion,CL,-35.3333,-72.4167,52.79,85,5,6.85,clear sky
165,Port Blair,IN,11.6667,92.75,84.22,69,97,4.88,overcast clouds
166,Qaanaaq,GL,77.484,-69.3632,8.51,96,100,0.36,light snow
167,Kurumkan,RU,54.3,110.3,11.05,83,52,1.88,broken clouds
168,Leningradskiy,RU,69.3833,178.4167,-3.42,95,18,1.66,few clouds
169,Boiro,ES,42.65,-8.9,55.38,81,94,6.08,overcast clouds
170,Emba,KZ,48.8264,58.1442,18.32,93,99,16.58,overcast clouds
171,Alboraya,ES,39.5,-0.35,52.77,90,0,3.0,clear sky
172,Mut,TR,36.6439,33.4389,49.37,50,99,3.02,overcast clouds
