City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,20,AR,2022-03-28 03:28:54,81,-54.8,-68.3,42.46,2.3
1,Haldwani,3,IN,2022-03-28 03:31:14,12,29.2167,79.5167,88.21,4.92
2,Mataura,0,NZ,2022-03-28 03:31:14,51,-46.1927,168.8643,72.25,6.02
3,Ust-Maya,75,RU,2022-03-28 03:31:15,75,60.4167,134.5333,25.97,5.41
4,Salalah,2,OM,2022-03-28 03:31:15,21,17.0151,54.0924,84.29,24.16
5,Bluff,5,NZ,2022-03-28 03:31:16,77,-46.6,168.3333,61.38,5.41
6,Portland,100,US,2022-03-28 03:28:56,74,45.5234,-122.6762,63.86,5.75
7,Sao Domingos Do Maranhao,100,BR,2022-03-28 03:31:16,98,-5.5758,-44.3853,71.89,2.35
8,Puerto Ayora,74,EC,2022-03-28 03:31:17,84,-0.7393,-90.3518,78.46,8.01
9,Qaanaaq,99,GL,2022-03-28 03:31:17,95,77.484,-69.3632,8.35,5.82
10,Hermanus,51,ZA,2022-03-28 03:31:18,63,-34.4187,19.2345,64.54,5.79
11,Leningradskiy,29,RU,2022-03-28 03:27:23,89,69.3833,178.4167,0.82,2.37
12,Avarua,75,CK,2022-03-28 03:31:18,94,-21.2078,-159.775,78.85,1.14
13,Kununurra,91,AU,2022-03-28 03:31:19,46,-15.7667,128.7333,94.98,5.75
14,Albany,100,US,2022-03-28 03:31:19,61,42.6001,-73.9662,24.39,4.0
15,Atuona,98,PF,2022-03-28 03:31:19,76,-9.8,-139.0333,79.48,16.44
16,Paamiut,74,GL,2022-03-28 03:29:56,77,61.994,-49.6678,25.05,8.7
17,Chokurdakh,22,RU,2022-03-28 03:31:20,90,70.6333,147.9167,2.46,5.32
18,Oktyabrskoye,100,RU,2022-03-28 03:31:20,86,43.0645,44.7417,28.54,6.71
19,Porto Novo,26,BJ,2022-03-28 03:31:21,84,6.4965,2.6036,84.02,6.17
20,Barrow,0,US,2022-03-28 03:31:21,71,71.2906,-156.7887,1.42,18.41
21,Maple Creek,100,CA,2022-03-28 03:31:22,49,49.9168,-109.4848,48.61,2.3
22,Khatanga,100,RU,2022-03-28 03:31:22,94,71.9667,102.5,-0.67,11.39
23,Ribeira Grande,99,PT,2022-03-28 03:31:22,84,38.5167,-28.7,59.67,10.8
24,Punta Arenas,26,CL,2022-03-28 03:29:55,75,-53.15,-70.9167,42.12,13.58
25,Nikolskoye,100,RU,2022-03-28 03:31:17,94,59.7035,30.7861,23.72,13.29
26,Tasiilaq,100,GL,2022-03-28 03:31:23,76,65.6145,-37.6368,26.76,10.92
27,Bredasdorp,100,ZA,2022-03-28 03:31:24,70,-34.5322,20.0403,63.01,3.98
28,Jamestown,100,US,2022-03-28 03:28:25,55,42.097,-79.2353,20.01,12.66
29,Ponta Do Sol,100,PT,2022-03-28 03:31:25,71,32.6667,-17.1,64.06,3.06
30,Butaritari,43,KI,2022-03-28 03:31:25,68,3.0707,172.7902,81.63,8.86
31,Arraial Do Cabo,66,BR,2022-03-28 03:31:25,91,-22.9661,-42.0278,75.88,7.74
32,Hobart,75,AU,2022-03-28 03:30:03,66,-42.8794,147.3294,72.27,5.75
33,Omboue,100,GA,2022-03-28 03:31:26,95,-1.5746,9.2618,75.85,8.99
34,Lavrentiya,28,RU,2022-03-28 03:31:26,85,65.5833,-171.0,11.32,4.45
